region_id,state,district,latitude,longitude,date,rainfall_mm,temperature_c,source_mode
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260409,-999.0,-999.0,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,20260410,-999.0,-999.0,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260301,0.0,5.57,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260302,0.0,6.54,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260303,0.0,8.37,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260304,0.0,10.36,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260305,0.0,11.81,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260306,0.0,11.23,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260307,0.0,11.46,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260308,0.0,11.54,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260309,0.01,11.42,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260310,0.0,11.47,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260311,0.0,12.09,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260312,0.22,11.69,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260313,0.02,10.43,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260314,0.3,10.03,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260315,4.28,6.32,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260316,3.01,5.54,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260317,0.14,5.46,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260318,0.54,6.75,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260319,13.16,5.84,downloaded
